lon,lat,ROUTE_NUMBER,DELAY,Current_Stop,From,Destination,Direction,Current_Time,Current_Day,Current_Hour,Current_Minutes,Current_Seconds
21.24601,48.7958,Os 7818 ,300,Kostoľany nad Hornádom,Košice,Poprad-Tatry,9,1614947578281,5,13,32,58
21.20295,49.04477,Os 8516 ,240,Veľký Šariš,Košice,Lipany,21,1614947698321,5,13,34,58
21.26712,49.01659,Os 9216 ,420,Šarišské Lúky,Bardejov,Prešov,16,1614947938383,5,13,38,58
21.28301,49.29661,Os 9217 ,420,Bardejov,Prešov,Bardejov,4,1614948163461,5,13,42,43
21.89858,48.75074,REX 1910 ,0,Michalovce,Humenné,Košice,10,1614948763578,5,13,52,43
21.24601,48.7958,Os 7814 ,0,Kostoľany nad Hornádom,Košice,Poprad-Tatry,9,1614940196343,5,11,29,56
21.28301,49.29661,Os 9213 ,540,Bardejov,Prešov,Bardejov,4,1614941081789,5,11,44,41
21.01324,48.89469,Os 7814 ,300,Margecany,Košice,Poprad-Tatry,9,1614942011959,5,12,0,11
21.75188,48.85705,Os 9116 ,0,Nižný Hrabovec,Humenné,Prešov,3,1614942011959,5,12,0,11
21.82483,48.86766,Os 9115 ,0,Strážske,Prešov,Humenné,12,1614942702161,5,12,11,42
21.22393,48.85288,R 608 TATRAN,360,Kysak,Košice,Bratislava hlavná stanica,23,1614943002315,5,12,16,42
22.05519,48.95489,Os 9418 ,0,Dlhé nad Cirochou,Stakčín,Humenné,5,1614945597980,5,12,59,57
20.56151,48.95041,R 608 TATRAN,540,Spišská Nová Ves,Košice,Bratislava hlavná stanica,23,1614945883008,5,13,4,43
21.241086,48.873332,Os 8517 ,120,Ličartovce,Lipany,Košice,18,1614945898014,5,13,4,58
21.241086,48.873332,Os 8516 ,360,Ličartovce,Košice,Lipany,21,1614946034023,5,13,7,14
21.29588,48.67004,REX 1903 ,360,Krásna nad Hornádom,Košice,Humenné,15,1614946618116,5,13,16,58
20.94725,48.85834,Os 7418 ,0,Gelnica,Margecany,Nálepkovo,14,1614946843122,5,13,20,43
20.56151,48.95041,Os 7821 ,1260,Spišská Nová Ves,Poprad-Tatry,Košice,17,1614947098172,5,13,24,58
21.6674,48.40282,Os 8817 ,420,Slovenské Nové Mesto,Košice,Čierna nad Tisou,8,1614947203188,5,13,26,43
21.6674,48.40282,Os 8817 ,420,Slovenské Nové Mesto,Košice,Čierna nad Tisou,8,1614947218212,5,13,26,58
21.32044,49.04386,Os 9216 ,420,Kapušany pri Prešove,Bardejov,Prešov,16,1614947533263,5,13,32,13
21.89858,48.75074,REX 1910 ,0,Michalovce,Humenné,Košice,10,1614948733570,5,13,52,13
21.75188,48.85705,Os 9119 ,0,Nižný Hrabovec,Prešov,Humenné,12,1614949078656,5,13,57,58
21.22393,48.85288,Os 7801 ,180,Kysak,Spišská Nová Ves,Košice,27,1615001128627,6,4,25,28
21.249126,48.983379,Os 8500 ,60,Prešov,Košice,Lipany,21,1615003259189,6,5,0,59
21.32044,49.04386,Os 9100 ,0,Kapušany pri Prešove,Humenné,Prešov,3,1615004309612,6,5,18,29
21.32044,49.04386,Os 9100 ,0,Kapušany pri Prešove,Humenné,Prešov,3,1615004339598,6,5,18,59
21.27623,48.67927,Os 6403 ,0,Barca,Moldava nad Bodvou mesto,Košice,26,1615004699697,6,5,24,59
21.92189,49.13492,Os 8903 ,0,Radvaň nad Laborcom,Humenné,Medzilaborce mesto,13,1615004699697,6,5,24,59
21.82483,48.86766,Os 9101 ,0,Strážske,Prešov,Humenné,12,1615005329958,6,5,35,29
21.249126,48.983379,Os 8503 ,60,Prešov,Lipany,Košice,18,1615005840232,6,5,44,0
21.249126,48.983379,Os 8503 ,180,Prešov,Lipany,Košice,18,1615005870263,6,5,44,30
21.42887,48.67311,Os 8803 ,60,Ruskov,Košice,Čierna nad Tisou,8,1615005900256,6,5,45,0
21.42887,48.67311,Os 8803 ,60,Ruskov,Košice,Čierna nad Tisou,8,1615005915258,6,5,45,15
21.82483,48.86766,Os 9104 ,0,Strážske,Humenné,Prešov,3,1615006350411,6,5,52,30
21.90506,49.26186,Os 8903 ,0,Medzilaborce,Humenné,Medzilaborce mesto,13,1615006440436,6,5,54,0
21.56926,48.98993,Os 9103 ,0,Čierne nad Topľou,Prešov,Strážske,36,1615006680542,6,5,58,0
21.241086,48.873332,Os 8503 ,60,Ličartovce,Lipany,Košice,18,1615006890638,6,6,1,30
21.77576,48.65229,R 615 TATRAN ZEMPLÍN,600,Hrinište,Bratislava hlavná stanica,Humenné,30,1615007280676,6,6,8,0
21.67319,48.89062,Os 9104 ,0,Vranov nad Topľou,Humenné,Prešov,3,1615007475736,6,6,11,15
21.71184,48.63306,REX 1902 ,0,Trebišov,Humenné,Košice,10,1615007550749,6,6,12,30
21.22393,48.85288,R 602 TATRAN,360,Kysak,Košice,Bratislava hlavná stanica,23,1615007805856,6,6,16,45
21.48874,48.64368,Os 8804 ,0,Slanec,Čierna nad Tisou,Košice,25,1615007850818,6,6,17,30
21.00288,48.60123,R 801 GEMERAN POĽANA,-300,Moldava nad Bodvou,Bratislava-Nové Mesto,Prešov,43,1615007925821,6,6,18,45
21.82483,48.86766,Os 9040 ,0,Strážske,Humenné,Trebišov,41,1615008210962,6,6,23,30
21.42887,48.67311,Os 8804 ,180,Ruskov,Čierna nad Tisou,Košice,25,1615008300974,6,6,25,0
21.42887,48.67311,Os 8804 ,180,Ruskov,Čierna nad Tisou,Košice,25,1615008330988,6,6,25,30
21.01324,48.89469,R 602 TATRAN,240,Margecany,Košice,Bratislava hlavná stanica,23,1615008691081,6,6,31,31
21.83458,48.67913,Os 9005 ,720,Bánovce nad Ondavou,Michaľany,Humenné,38,1615010116483,6,6,55,16
21.31413,49.14945,Os 9281 ,0,Raslavice,Prešov,Bardejov,4,1615010476617,6,7,1,16
21.31413,49.14945,Os 9281 ,0,Raslavice,Prešov,Bardejov,4,1615010491635,6,7,1,31
21.241086,48.873332,Os 8584 ,240,Ličartovce,Košice,Prešov,11,1615010611663,6,7,3,31
21.40544,49.04906,Os 9104 ,0,Lipníky,Humenné,Prešov,3,1615010611663,6,7,3,31
21.990302,48.933803,Os 9406 ,540,Kamenica nad Cirochou,Stakčín,Humenné,5,1615011767008,6,7,22,47
21.32044,49.04386,Os 9280 ,0,Kapušany pri Prešove,Bardejov,Prešov,16,1615011932064,6,7,25,32
21.249126,48.983379,Os 8507 ,-60,Prešov,Lipany,Košice,18,1615011962082,6,7,26,2
20.56151,48.95041,EN 443 Slovakia,0,Spišská Nová Ves,Žilina,Humenné,45,1615012532194,6,7,35,32
21.22393,48.85288,Os 7806 ,300,Kysak,Košice,Poprad-Tatry,9,1615012847868,6,7,40,47
22.05519,48.95489,Os 9408 ,0,Dlhé nad Cirochou,Stakčín,Humenné,5,1615014002666,6,8,0,2
21.241086,48.873332,Os 8507 ,0,Ličartovce,Lipany,Košice,18,1615014032658,6,8,0,32
21.6262,48.52172,Os 8807 ,180,Michaľany,Košice,Čierna nad Tisou,8,1615014557799,6,8,9,17
20.88621,48.92171,Os 7806 ,0,Krompachy,Košice,Poprad-Tatry,9,1615014587831,6,8,9,47
21.6262,48.52172,Os 8807 ,180,Michaľany,Košice,Čierna nad Tisou,8,1615014587831,6,8,9,47
21.71184,48.63306,REX 1904 ,0,Trebišov,Humenné,Košice,10,1615014782906,6,8,13,2
21.71184,48.63306,REX 1904 ,0,Trebišov,Humenné,Košice,10,1615014797888,6,8,13,17
21.22393,48.85288,EN 443 Slovakia,60,Kysak,Žilina,Humenné,45,1615014992977,6,8,16,32
21.249126,48.983379,Os 8506 ,240,Prešov,Košice,Lipany,21,1615015279006,6,8,21,19
21.22393,48.85288,Os 7809 ,0,Kysak,Liptovský Mikuláš,Košice,46,1615015473086,6,8,24,33
21.26872,48.72291,EN 443 Slovakia,120,Košice,Žilina,Humenné,45,1615016028204,6,8,33,48
